CONTA,PETRÓLEO,GÁS NATURAL,CARVÃO VAPOR,CARVÃO METALÚRGICO,URÂNIO U3O8,ENERGIA HIDRÁULICA,LENHA,PRODUTOS DA CANA,OUTRAS FONTES PRIMÁRIAS,ENERGIA PRIMÁRIA TOTAL,BIODIESEL,ÓLEO DIESEL,ÓLEO COMBUSTÍVEL,GASOLINA,GLP,NAFTA,QUEROSENE,GÁS DE CIDADE E DE COQUERIA,COQUE DE CARVÃO MINERAL,URÂNIO CONTIDO NO UO2,ELETRICIDADE,CARVÃO VEGETAL,ÁLCOOL ETÍLICO ANIDRO E HIDRATADO,OUTRAS SECUNDÁRIAS DE PETRÓLEO,PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO,ALCATRÃO,ENERGIA SECUNDÁRIA TOTAL,TOTAL,Ano
      QUÍMICA  ,0,1834,84.36571381767,0,0,0,47,0,81,2047,2,19,62,0,168,0,0,0,0,0,2004,16,0,1524,0,0,3799,5847,2024-01-01
      ALIMENTOS E BEBIDAS  ,0,750,3.8719,0,0,0,2787,19381,18,22941,35,247,34,0,223,0,0,0,0,0,2817,0,0,90,0,0,3448,26390,2024-01-01
      TÊXTIL  ,0,147,0.0,0,0,0,56,0,1,205,0,0,0,0,28,0,0,0,0,0,519,0,0,0,0,0,548,754,2024-01-01
      PAPEL E CELULOSE  ,0,881,0.0,0,0,0,2185,40,9032,12140,38,263,302,0,59,0,0,0,0,0,2294,0,0,0,0,0,2958,15098,2024-01-01
      CERÂMICA ,0,1115,30.8297074240933,0,0,0,2099,0,58,3303,2,17,24,0,172,0,0,0,0,0,340,0,0,76,0,0,634,3938,2024-01-01
      OUTROS  ,0,1492,14.945416755792,0,0,0,908,0,35,2451,13,92,23,0,199,0,0,0,0,0,5202,12,0,384,0,0,5928,8380,2024-01-01
   CONSUMO NÃO-IDENTIFICADO  ,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-01
 AJUSTES  ,-156,35,-4.87566573781351e-13,0,0,0,0,0,0,-121,-5,72,164,65,-45,-65,0,0,14,0,0,0,0,51,0,-3,249,128,2024-01-01
    PRODUÇÃO  ,176038,54281,2355.9182696474,0,1083,36635,27265,55398,38167,391225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391225,2023-01-01
    IMPORTAÇÃO  ,11721,5692,2928.59649605951,7050,4669,0,0,0,0,32063,0,12035,71,3042,1767,5477,815,0,1561,2697,1917,0,0,3946,1533,0,34866,66929,2023-01-01
    VARIAÇÃO DE ESTOQUES  ,355,0,345.565587448944,52,-1383,0,0,0,0,-628,-14,-967,649,400,-17,-428,118,0,-575,-3218,0,0,-1243,-84,-41,0,-5421,-6050,2023-01-01
 OFERTA TOTAL  ,188115,59973,5630.08035315586,7103,4370,36635,27265,55398,38167,422660,-14,11067,721,3443,1749,5049,934,0,986,-520,1917,0,-1243,3862,1491,0,29444,452104,2023-01-01
    EXPORTAÇÃO  ,-84022,0,0.0,0,0,0,0,0,0,-84022,0,-688,-16085,-1109,-4,-345,-2078,0,0,0,-617,0,-1303,-1287,-337,0,-23859,-107881,2023-01-01
    NÃO-APROVEITADA  ,0,-1364,0.0,0,0,0,0,0,0,-1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1364,2023-01-01
    REINJEÇÃO  ,0,-28386,0.0,0,0,0,0,0,0,-28386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28386,2023-01-01
 OFERTA INTERNA BRUTA  ,104093,30222,5630.08035315586,7103,4370,36635,27265,55398,38167,308887,-14,10378,-15363,2333,1744,4704,-1144,0,986,-520,1299,0,-2547,2574,1154,0,5585,314472,2023-01-01
 TOTAL TRANSFORMAÇÃO  ,-104056,-14150,-2302.17368358317,-7093,-4370,-36635,-8422,-21861,-26441,-225334,5884,39028,17579,23591,6506,1461,4476,1318,6204,520,60898,4261,19274,5954,6524,226,203712,-21622,2023-01-01
    REFINARIAS DE PETRÓLEO  ,-101573,0,0.0,0,0,0,0,0,-4302,-105876,0,40091,17810,21998,4975,4358,4476,0,0,0,0,0,0,6439,5673,0,105823,-52,2023-01-01
    PLANTAS DE GÁS NATURAL  ,0,-4278,0.0,0,0,0,0,0,1331,-2946,0,0,0,0,1431,0,0,0,0,0,0,0,0,0,1001,0,2433,-512,2023-01-01
    USINAS DE GASEIFICAÇÃO  ,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-01
    COQUERIAS,0,0,0.0,-7093,0,0,0,0,0,-7093,0,0,0,0,0,0,0,1623,6204,0,0,0,0,-1151,0,234,6911,-182,2023-01-01
    CICLO DO COMBUSTÍVEL NUCLEAR,0,0,0.0,0,-4370,0,0,0,0,-4370,0,0,0,0,0,0,0,0,0,4300,0,0,0,0,0,0,4300,-69,2023-01-01
    CENTRAIS ELÉTRICAS DE SERVIÇO PÚBLICO,0,-3798,-2085.58527498983,0,0,-34766,-33,0,-10251,-50936,-70,-577,-44,0,0,0,0,0,0,-3779,48661,0,0,-28,0,0,44160,-6775,2023-01-01
